Period,SG,SN,SV,BG,BN,BV
192607,1.3724,0.9081,-0.0695,5.7168,1.9642,1.4222
192608,0.6095,1.5075,5.3842,2.7154,2.6838,6.3154
192609,-2.6779,-0.1359,-0.4374,1.4287,0.0709,-0.7967
192610,-3.5365,-4.3572,-2.0112,-3.5898,-2.346,-4.097
192611,3.121,3.6608,2.0944,3.1292,2.8965,3.4614
192612,2.7364,1.8411,3.2639,2.9678,2.6067,2.395
192701,-1.0001,-0.3782,3.9316,-0.2621,0.0347,4.4635
192702,3.9022,6.3784,6.6192,5.0044,3.5568,8.6305
192703,-1.6,-0.9889,-3.1676,1.3025,0.2071,-2.4764
192704,-1.3184,0.8741,3.4796,3.051,-0.7634,-0.5452
192705,5.5482,3.3467,13.3256,5.4076,5.1017,7.4921
192706,-1.5484,1.304,-3.9474,-0.9628,-3.0156,-1.6326
192707,4.3331,5.2347,3.9846,9.2369,6.7429,7.2603
192708,2.3503,-2.2044,0.86,3.9191,1.2181,-1.9651
192709,2.3981,2.2316,0.399,5.3864,4.3919,5.9674
192710,-0.1633,-2.1458,-5.8357,-3.6349,-4.284,-6.6219
192711,10.4346,8.062,10.2275,7.056,6.7676,6.6346
192712,5.5505,2.6016,2.4506,2.4954,1.8547,3.4755
192801,3.2031,2.7804,3.5948,-0.4774,-0.3667,-2.3168
192802,-4.7913,-1.7203,-4.1271,-0.6762,-1.1395,-2.7296
192803,7.393,8.6229,9.457,12.28,6.1327,7.8254
192804,4.2158,10.6845,9.9723,2.9145,6,4.4979
192805,7.5326,1.954,2.574,2.6065,-0.1128,0.6388
192806,-8.5131,-8.3044,-6.8294,-3.6094,-4.1224,-5.4164
192807,-0.4048,-0.4017,-0.8867,1.359,0.1098,0.9017
192808,6.124,5.0517,3.699,8.7368,5.3867,6.9468
192809,5.7317,4.4538,6.1762,2.9576,1.9153,4.4896
192810,6.8299,3.1244,1.6621,1.359,1.4325,2.0067
192811,8.6705,11.1936,12.2831,11.1602,13.2781,13.1497
192812,0.9055,-0.5953,-0.6462,0.9332,0.0018,1.2917
192901,-0.034,1.9379,1.448,6.5262,4.8294,2.6307
192902,0.7414,1.1014,0.382,-0.5791,0.8403,3.1476
192903,-5.9533,-3.4602,-4.0571,-1.3835,2.2097,-0.0642
192904,-0.0822,2.7549,0.5004,2.2172,1.1096,2.8362
192905,-10.2009,-9.3603,-12.5598,-5.7297,-4.1597,-6.1709
192906,6.9673,9.4356,6.4064,12.4593,9.3446,7.5052
192907,-0.0681,-0.7029,3.8633,3.5656,6.2018,4.9529
192908,-0.8885,-0.4641,-0.4544,7.272,12.543,6.9497
192909,-4.2569,-4.3105,-3.6218,-4.4211,-4.9685,-6.3175
192910,-21.7261,-19.3351,-19.8329,-24.1865,-14.0943,-10.3723
192911,-16.4096,-9.7926,-12.3366,-14.2535,-10.9314,-7.6677
192912,-2.7511,-3.1295,-1.8488,3.3988,0.551,1.317
193001,6.2347,9.4133,8.4631,7.1735,3.3849,2.9221
193002,1.3502,1.2599,4.3779,3.4639,1.9009,1.2221
193003,9.0009,11.0406,10.7647,6.816,8.3445,5.3573
193004,-6.0956,-1.772,-3.4814,-2.361,-1.7312,-6.6523
193005,-3.7611,-2.3202,-2.9578,0.7061,-2.2694,-1.365
193006,-16.933,-16.66,-18.9287,-17.849,-13.1218,-11.8439
193007,6.5208,3.728,2.5406,4.4017,4.2198,5.2644
193008,-3.7646,-1.6135,-2.5073,1.1969,-0.8,-1.6232
193009,-13.6823,-14.6721,-19.1619,-12.0325,-11.7394,-17.0858
193010,-10.1007,-7.6801,-10.7443,-9.4278,-7.3264,-11.4835
193011,0.2231,-2.7838,-2.6023,-2.3616,-2.8339,-6.6002
193012,-10.4113,-11.0266,-17.2866,-5.8057,-9.1776,-9.7245
193101,9.8982,11.3602,15.3447,4.717,6.9823,13.5911
193102,13.1802,11.6577,17.0974,12.8706,6.7357,12.1756
193103,-4.3393,-2.9204,-6.9747,-4.1971,-10.3577,-8.8826
193104,-12.8802,-14.0212,-18.244,-8.8412,-11.107,-11.349
193105,-9.6516,-8.7006,-13.8368,-11.3932,-15.9343,-20.363
193106,10.1107,7.7295,20.3215,12.8509,16.1956,25.2657
193107,-8.5867,-8.9411,-5.7363,-5.1668,-10.1775,-12.2143
193108,-1.6114,-1.1797,-3.7504,0.8986,-1.5948,0.0531
193109,-26.5722,-30.0521,-33.8286,-28.8671,-28.1493,-35.1131
193110,4.2319,9.2071,5.4593,9.5401,3.2588,11.7214
193111,-7.7335,-7.2915,-9.3902,-6.1288,-16.6307,-14.5665
193112,-13.7987,-16.5088,-22.4192,-11.5667,-18.8221,-20.6686
193201,2.4924,3.9264,10.5116,-3.4347,1.9132,6.6353
193202,-2.4754,1.9822,1.3833,7.1142,1.7366,0.3507
193203,-10.5259,-12.1366,-10.6244,-10.2031,-15.1403,-14.746
193204,-19.3072,-17.1449,-16.043,-18.1275,-20.1476,-18.5418
193205,-17.1387,-24.84,-16.9055,-19.2184,-25.9531,-25.436
193206,0.954,6.2481,0.9954,-1.711,0.0545,8.8476
193207,31.9157,36.1125,63.2475,28.1955,48.6209,67.7847
193208,48.7253,55.3725,83.5754,31.3211,50.9661,62.5277
193209,-2.8086,-4.5841,-12.4737,-1.0366,-6.5149,-5.0087
193210,-16.2523,-19.645,-23.8672,-10.7514,-17.5126,-23.2272
193211,-0.2993,-8.2786,-13.2053,-2.7223,-8.9288,-16.3816
193212,-5.157,-4.2529,-11.0792,6.8503,1.0438,-3.5633
193301,4.3939,1.3914,8.0722,-0.012,3.0297,8.7685
193302,-17.8502,-18.4137,-20.8881,-14.9493,-16.5816,-17.3738
193303,7.0768,6.1577,16.0332,0.9569,9.8608,6.7577
193304,45.443,54.8024,56.561,33.739,51.8933,57.4905
193305,59.9375,62.1965,73.3394,16.9717,26.7781,41.626
193306,32.939,23.3035,18.2645,11.3683,15.5089,21.9496
193307,-14.1385,-12.7712,-7.2418,-8.8583,-13.0573,-9.2208
193308,10.5585,10.1102,8.2144,10.5958,15.7784,18.8615
193309,-7.6121,-13.3352,-20.9042,-9.1454,-12.3603,-19.3866
193310,-8.4949,-12.42,-13.8362,-6.1614,-10.5922,-17.7448
193311,4.4492,4.6618,6.1086,9.69,12.2772,12.6924
193312,4.7702,4.0567,0.4565,2.1093,1.8286,3.3536
193401,21.5203,28.5643,38.3403,9.8669,16.8246,24.1368
193402,-0.2935,1.1796,5.3723,-2.3815,-3.1241,-3.81
193403,4.7722,2.0674,-0.0727,-0.0029,-0.1362,-0.62
193404,2.8356,-1.317,-1.8303,-1.778,-2.3152,-4.616
193405,-7.3381,-9.8907,-12.0504,-6.4033,-8.5879,-13.5106
193406,3.7672,0.0811,-2.31,2.628,2.4811,2.8615
193407,-18.0226,-21.5042,-24.4253,-8.311,-11.7051,-23.179
193408,10.9235,9.4125,12.1272,6.0718,4.4464,5.7691
193409,-0.9255,-0.5806,-3.5104,-0.2597,-0.1487,-0.105
193410,-0.925,-1.638,-4.1891,-0.4115,-2.708,-7.369
193411,17.4218,15.4433,12.5328,10.2402,5.0137,10.6573
193412,4.9409,1.7554,1.5191,0.7507,0.5333,-2.2372
193501,-5.5523,-3.3988,-2.9638,-3.0099,-2.8838,-9.3128
193502,-3.5225,-4.8589,-5.9285,-0.8581,-1.6838,-12.9875
193503,-5.9234,-7.4692,-11.3546,-2.9715,-3.3289,-7.7499
193504,6.7174,9.3484,10.3838,8.0311,9.8871,13.0598
193505,-2.6657,2.3317,1.6295,3.137,4.339,3.957
193506,5.8129,5.9262,0.806,6.3821,5.6136,8.0813
193507,9.1528,12.9358,12.7537,6.9882,6.3196,17.1148
193508,4.2227,8.6796,14.4462,2.5694,2.2001,3.7475
193509,5.0917,5.5331,0.5575,4.6757,0.6768,1.1198
193510,10.9064,10.8105,6.8068,6.6016,7.9769,6.0328
193511,6.6969,10.385,18.9743,3.0389,5.6087,14.5739
193512,5.7713,10.1904,2.2152,2.9835,5.8064,8.6858
193601,10.3194,7.7731,22.3771,3.2881,9.5299,12.2406
193602,1.901,6.5497,6.7824,1.9137,2.806,7.1039
193603,0.5096,2.3088,0.8324,2.6378,0.0632,-1.0088
193604,-14.3931,-14.0147,-15.464,-7.1563,-8.3505,-10.2494
193605,4.9011,5.6286,8.6767,5.0578,5.1107,6.5508
193606,-2.208,-0.2832,-1.2498,3.6325,2.1402,0.2676
193607,10.6321,7.6218,9.4742,5.919,6.1995,12.2012
193608,0.6464,2.2704,4.615,0.2916,0.7816,4.3069
193609,2.2261,4.9643,4.4676,0.9227,1.0988,0.4333
193610,3.7136,6.4885,6.5107,6.4225,8.7962,8.6599
193611,10.8717,9.0679,13.0248,3.3927,3.1473,-0.5944
193612,2.0356,3.414,7.0026,-1.8345,2.3561,1.1085
193701,7.178,7.3432,9.716,3.6451,1.3462,6.3247
193702,3.2757,1.6855,6.2355,-0.2192,0.8159,6.9216
193703,-3.0069,-0.057,1.8986,-1.7373,-0.2096,6.1275
193704,-10.089,-11.5677,-13.3505,-6.8235,-6.1092,-10.7778
193705,-0.3362,-0.9886,-4.1008,0.2432,-0.7186,-2.9798
193706,-7.2192,-7.7152,-10.3393,-4.1579,-2.7006,-7.4626
193707,10.9193,8.9913,10.7833,9.2027,7.9646,10.9736
193708,-4.641,-5.0783,-5.5789,-4.21,-4.5854,-7.7724
193709,-20.8237,-20.8254,-23.052,-12.3496,-12.4049,-19.2657
193710,-10.7815,-10.2588,-9.7797,-10.1749,-7.5754,-14.4157
193711,-11.5268,-12.2952,-11.7113,-8.7393,-7.6937,-8.1625
193712,-14.1157,-10.5934,-12.2906,-4.1175,-2.8726,-6.7316
193801,4.9809,6.5079,3.7399,1.3091,-0.3348,-0.6467
193802,8.4291,5.6035,4.7735,6.3853,5.3825,5.995
193803,-29.9158,-28.9745,-30.1419,-23.5181,-22.4597,-30.3243
193804,22.0838,20.7285,20.397,13.8077,14.4371,15.8488
193805,-7.4715,-7.6475,-5.5424,-3.5564,-3.6497,-6.0495
193806,31.2478,30.0194,27.5574,25.7265,20.9273,30.0253
193807,13.4374,14.4896,15.3633,6.7918,7.3085,9.2224
193808,-4.5933,-5.1113,-9.2856,-0.432,-6.067,-5.1808
193809,-1.8834,-2.5023,-2.7862,1.36,0.6107,-0.971
193810,14.1329,14.7573,16.9041,6.9259,7.2132,14.1797
193811,-5.1969,-2.6663,-5.9225,-1.1168,-2.1445,-2.8592
193812,6.0349,3.7143,1.5522,3.3787,4.4694,8.8637
193901,-8.0596,-8.9052,-10.1457,-5.2583,-6.1505,-11.0166
193902,3.9273,5.0675,6.2899,3.3494,3.1479,6.8947
193903,-17.7969,-18.4864,-22.8516,-9.8437,-13.6458,-21.3665
193904,-0.4922,0.1285,1.9743,-0.1355,-0.0485,-3.1968
193905,11.2969,9.0561,9.8655,6.8972,5.6072,9.2768
193906,-6.8167,-7.9144,-10.6753,-4.4207,-6.5532,-11.3783
193907,16.1292,16.6985,13.6444,11.3137,8.4488,13.7364
193908,-12.3681,-11.9915,-12.61,-6.309,-5.9193,-10.9033
193909,37.6978,39.2998,54.9528,13.5797,16.9053,40.771
193910,0.4561,-0.5783,-5.0048,0.028,-0.8229,-4.2992
193911,-7.8325,-9.3925,-13.814,-2.6176,-3.6667,-9.5542
193912,5.9303,3.0379,0.3533,3.5574,2.3632,1.0169
194001,-4.1988,-2.1344,-2.7571,-2.1568,-2.4994,-5.1435
194002,4.0588,4.3883,3.1703,1.2492,1.345,1.489
194003,4.6939,2.8608,2.2719,2.3725,1.4575,2.2556
194004,4.7401,3.1906,4.0938,-0.1263,0.1167,0.2697
194005,-27.7724,-27.44,-32.4414,-22.0718,-20.8034,-24.7879
194006,4.4242,5.0042,7.9865,4.9455,8.2385,10.6339
194007,4.717,4.7178,3.3227,3.3873,3.0418,3.299
194008,2.0524,3.1824,1.8886,2.1928,1.7831,3.4847
194009,5.3698,4.5125,5.2039,3.1522,1.21,1.0582
194010,4.2145,5.6715,6.2944,0.8953,6.3562,8.0971
194011,1.1473,0.5385,0.1738,-1.9212,-1.3367,-0.7062
194012,-0.8918,-1.4655,-2.2785,0.5934,1.017,0.1971
194101,-4.4429,-2.6498,-0.3066,-5.0365,-3.8489,-1.5198
194102,-3.4695,-1.8055,-2.8879,-1.5847,-1.4892,-0.389
194103,0.5236,1.13,3.7745,0.5444,1.212,3.378
194104,-7.5563,-5.4015,-5.2001,-6.497,-4.5637,-2.035
194105,1.7628,0.667,1.5458,0.9481,2.6345,2.3634
194106,4.1184,6.1938,8.46,6.1753,5.6174,3.0109
194107,10.4387,10.1575,18.5406,3.7262,8.1838,10.1236
194108,-1.1591,-2.1235,-0.3954,0.6862,-0.8566,-2.2697
194109,-3.0405,-1.8377,-1.9489,-0.0105,-2.1937,-1.6652
194110,-5.8203,-6.269,-6.0101,-6.0976,-3.2927,-2.6528
194111,-1.0629,-4.1846,-2.921,-2.2704,-0.5645,-1.6913
194112,-5.4399,-8.4826,-12.6548,-4.6824,-3.5964,-9.3443
194201,6.7111,10.7165,14.4866,-1.7916,0.505,10.6422
194202,0.5247,-1.103,-1.7045,-2.3068,-2.7966,-2.3449
194203,-4.7636,-3.6606,-5.7196,-5.83,-7.5457,-6.1045
194204,-6.1855,-3.8173,-3.7407,-4.5876,-4.4955,-2.8527
194205,0.1524,2.0704,1.65,7.4477,4.9379,0.6445
194206,1.0092,1.4019,2.3613,3.0527,2.6059,2.7837
194207,5.168,3.7718,5.1232,2.6864,4.3154,7.5371
194208,2.2429,2.586,2.4943,1.7161,1.7422,4.1208
194209,2.1868,2.8551,5.9863,2.6162,2.8245,3.6029
194210,8.291,7.9106,14.4969,5.3109,7.8747,12.0528
194211,-1.0955,-2.4747,-4.0858,1.0982,0.2502,-4.3893
194212,2.6024,4.0841,2.6297,4.8847,5.9162,5.9799
194301,11.6914,13.9214,23.8088,5.3474,8.0235,9.6978
194302,10.8494,9.1945,17.482,4.8117,7.0044,11.1942
194303,10.9334,11.5343,14.9621,4.1328,7.138,11.0704
194304,-0.9484,2.6106,8.1616,-0.104,1.2483,2.5081
194305,8.8391,8.9676,13.2925,5.0198,5.7231,7.127
194306,-0.2795,0.8217,0.4097,2.1659,1.9685,-0.0012
194307,-5.1729,-6.7858,-9.086,-4.762,-3.6714,-5.3886
194308,0.3627,0.0733,0.7239,1.5011,1.3117,0.2062
194309,2.9273,3.0298,5.415,2.2046,2.7272,2.5854
194310,-0.6849,-0.3355,0.7697,-1.4472,-0.9474,0.3918
194311,-7.0489,-7.9578,-10.5793,-4.7611,-6.5838,-9.3114
194312,7.2026,10.6109,12.0572,5.6748,6.9257,7.259
194401,5.0183,4.6781,5.2901,0.818,1.6184,4.8802
194402,1.3611,0.9548,0.6569,0.0507,0.7854,2.4248
194403,1.9835,3.7072,7.6297,2.2076,2.5617,3.4133
194404,-1.9626,-2.8671,-4.0621,-1.3972,-1.8771,-1.5629
194405,5.8169,7.2671,7.0046,4.6061,5.0192,5.465
194406,9.3452,9.7095,10.5417,4.9431,5.1501,7.3842
194407,0.1974,-1.0199,-1.4868,-1.6579,-1.4787,-0.8375
194408,4.9453,4.1492,1.8964,1.3605,1.2556,1.146
194409,1.5739,-0.0764,-0.2658,0.3319,-0.2562,-0.2435
194410,0.1925,0.5534,-0.4692,-0.0654,0.8407,-0.0829
194411,1.0753,2.9197,3.6861,1.1612,2.2483,3.1649
194412,5.9661,6.8664,10.587,2.4976,4.5123,9.6992
194501,5.3378,5.0768,4.108,0.7604,3.039,3.4172
194502,6.5845,8.8305,10.5414,5.1483,6.1444,9.9868
194503,-4.3743,-6.3271,-6.4097,-3.1965,-4.3701,-4.7147
194504,7.5978,9.0869,9.9162,6.7601,8.0276,10.8652
194505,2.7782,2.1567,4.0593,2.0098,1.0423,1.4259
194506,2.9165,2.5527,6.8414,-1.2111,0.7163,3.4995
194507,-3.1033,-3.5458,-5.4558,-1.4266,-1.8157,-4.4955
194508,7.7684,7.8428,4.8892,8.5886,4.3999,2.6718
194509,6.6474,6.7318,6.4407,4.5548,4.3974,5.7272
194510,6.0725,6.7019,7.4502,2.3629,4.9911,5.4804
194511,9.3211,9.7416,11.4999,2.8819,5.8159,9.3753
194512,4.053,3.1126,1.6395,1.7707,1.141,-0.4562
194601,9.6675,8.8766,12.3615,6.0984,4.9235,7.8274
194602,-6.2438,-6.8294,-7.2913,-5.8802,-4.9458,-7.3631
194603,6.5074,5.9349,5.8051,5.1627,7.019,5.1451
194604,4.3802,7.9286,6.3856,3.7606,5.16,2.6517
194605,6.7336,5.0297,5.7605,3.1851,3.6102,6.3451
194606,-4.5703,-5.2031,-5.9975,-4.4139,-2.6157,-4.1636
194607,-4.8021,-3.8418,-5.0475,-2.7312,-2.3686,-2.3991
194608,-8.4903,-8.2229,-7.3701,-6.3175,-6.1952,-6.2326
194609,-13.9626,-13.4864,-15.8473,-9.8007,-8.4219,-11.8313
194610,-3.1863,-1.0714,0.7462,-2.487,-1.7639,0.4636
194611,-1.5734,-0.6742,1.4102,-0.2213,0.7452,-0.1651
194612,5.7147,4.6134,4.2871,5.295,5.1954,3.9577
194701,4.5119,2.4272,3.25,2.1808,-0.5027,1.9774
194702,-1.2774,-0.6043,0.8617,0.0696,-1.335,-1.78
194703,-3.3525,-3.4273,-2.3881,-1.7956,-1.0035,-1.5387
194704,-9.3469,-7.9219,-8.1055,-5.1369,-3.6659,-4.6734
194705,-5.2184,-3.9661,-3.5986,-1.1266,0.1874,-2.0744
194706,4.2906,5.3287,5.0072,6.4552,4.5626,4.5303
194707,5.2344,6.3337,7.0612,3.5118,3.4853,7.3342
194708,-1.8585,-1.5408,-1.2065,-1.8587,-1.456,-2.1997
194709,0.4098,0.3595,2.6319,-0.6744,-0.6558,-0.1814
194710,3.5397,3.3029,2.9234,2.2304,2.9955,3.0043
194711,-4.4555,-3.4527,-2.6395,-2.0816,-1.4791,-1.7796
194712,0.1759,1.3771,3.0234,2.0173,3.4628,6.5408
194801,-1.7489,-2.4805,-0.1999,-4.539,-4.0364,-3.336
194802,-5.9905,-6.3838,-5.7986,-4.6491,-3.6881,-4.6973
194803,6.4133,8.3056,12.2128,7.8154,7.7196,11.0026
194804,1.2935,2.8029,4.6743,2.2742,4.3656,7.0963
194805,9.3433,8.7069,7.5463,8.505,6.4626,7.8323
194806,-2.8594,-1.6291,0.3235,-0.6228,0.3282,1.7011
194807,-4.9617,-5.199,-5.4746,-5.0109,-5.31,-4.3526
194808,-1.1762,-0.5161,-0.3462,0.877,-0.2112,0.5907
194809,-2.9256,-4.1617,-5.5034,-2.7272,-2.4449,-3.726
194810,4.0923,4.5769,5.3778,6.4318,5.848,6.2724
194811,-9.7016,-9.6855,-12.9406,-8.3439,-8.7315,-13.3862
194812,1.4144,-0.002,0.1689,4.9312,2.7612,2.2947
194901,1.4055,1.8478,2.9763,0.5644,-1.0823,1.3304
194902,-5.3414,-3.9655,-5.6091,-2.4792,-2.7256,-4.0374
194903,6.3287,5.6055,8.1847,4.2292,3.4034,5.0451
194904,-1.5605,-3.0823,-3.373,-2.076,-0.6601,-2.6169
194905,-3.7284,-3.7213,-5.1127,-1.8599,-3.0887,-5.3144
194906,-1.1659,-1.4535,-1.127,1.1072,0.2508,-2.4522
194907,6.529,7.2103,5.7449,5.2494,5.7478,6.7915
194908,3.2548,3.5448,1.9586,2.7137,2.7811,2.862
194909,5.4113,4.1798,4.1709,2.6493,3.6207,4.3525
194910,5.0893,3.4831,4.0997,3.2624,3.0556,3.2734
194911,0.5242,1.0058,0.2095,2.9284,0.1852,1.4257
194912,6.9616,6.5348,8.802,5.3306,3.7726,6.9904
195001,7.2511,4.6563,4.6919,0.8585,1.965,3.6955
195002,1.6732,1.9791,0.5671,1.5803,1.4615,1.0693
195003,2.44,-1.1095,-1.9436,1.9199,0.9328,0.773
195004,5.7935,5.359,7.5034,4.3512,3.0117,5.3266
195005,1.6064,2.7917,3.029,4.6373,5.0171,4.125
195006,-7.0224,-7.861,-9.0471,-5.4526,-6.3491,-4.9919
195007,0.7491,3.3806,11.5039,-3.4686,4.4656,13.1049
195008,4.3762,5.5535,5.0765,6.0983,4.1287,2.5766
195009,5.9972,4.903,4.9761,5.7662,3.8296,4.5636
195010,-0.4563,-0.2294,0.2589,-0.1731,-0.4988,1.9896
195011,0.4057,2.1228,4.9531,2.4005,3.4012,4.2022
195012,5.2259,7.3714,12.4531,3.3438,6.644,10.5826
195101,6.7204,7.0302,10.6668,5.1644,5.4079,8.666
195102,1.6335,1.321,-0.1712,2.2461,1.8718,-1.6099
195103,-1.4182,-3.2662,-5.6058,-0.7151,-2.6881,-4.9732
195104,2.2415,3.7348,6.4365,4.4184,5.6719,6.7777
195105,-1.8424,-2.5864,-3.2891,-2.3381,-1.8128,-3.5496
195106,-3.9063,-4.7824,-7.222,-2.1935,-1.0689,-6.7884
195107,5.3968,5.0818,6.7219,6.7115,7.0432,9.4123
195108,6.0032,5.3969,5.0122,4.2156,4.3281,4.8953
195109,2.4131,2.8739,2.8222,0.61,0.4024,1.3859
195110,-2.0973,-1.6187,-3.3221,-3.798,-0.496,-2.0648
195111,0.4606,0.4555,0.4007,0.7963,0.6532,0.7349
195112,1.1372,0.9709,0.6425,4.2423,3.6197,1.6318
195201,1.677,1.7973,1.4141,0.4207,2.5411,3.76
195202,-2.075,-1.9713,-2.0061,-2.1776,-2.7913,-3.4548
195203,1.2718,2.2724,3.3251,4.3708,4.8331,6.6406
195204,-4.7336,-4.833,-4.079,-4.652,-4.9298,-5.5111
195205,2.2358,2.0772,2.7274,3.7948,2.828,3.4469
195206,1.6752,2.8792,3.3712,3.9102,4.1731,4.6737
195207,0.9861,1.5705,-0.1674,1.1605,0.7782,1.6625
195208,0.0584,0.9596,0.298,-0.8807,-0.2805,-0.975
195209,0.2123,-0.8012,-2.113,-1.8263,-1.8516,-2.3862
195210,-0.7348,-1.5835,-1.9727,-0.5752,-0.2546,-0.4086
195211,5.5491,5.5213,6.0587,6.1889,5.4434,7.6545
195212,1.9131,1.8031,1.7229,3.1417,3.0175,3.7264
195301,3.7496,3.5242,3.9189,-0.9684,-0.0375,1.5396
195302,1.3326,2.2121,1.7526,-0.2005,-0.1755,-0.7937
195303,-1.7215,-1.6985,-1.9871,-1.17,-1.1272,-2.5791
195304,-3.0729,-2.3131,-1.1289,-3.0051,-2.4605,-1.8659
195305,0.7245,0.8933,0.7138,0.8613,0.3143,1.3552
195306,-3.1827,-3.3052,-3.9909,-1.617,-1.4895,-1.8349
195307,0.8453,1.5192,1.467,2.9808,2.1172,1.8914
195308,-3.2235,-5.2969,-6.2762,-3.9736,-3.9041,-7.996
195309,0.0232,-0.8461,-2.2737,0.9017,0.186,-1.6369
195310,3.1405,3.6649,3.1679,5.0809,4.3331,4.6582
195311,1.5491,2.1501,1.2769,3.3482,2.2275,3.2992
195312,0.2669,-1.2682,-2.7399,0.524,0.3718,-2.0999
195401,4.6432,6.6199,8.2448,4.464,5.7885,7.85
195402,1.1241,1.4999,1.4449,1.652,2.1569,0.7601
195403,2.6496,3.1207,2.253,4.2435,3.5131,1.7485
195404,-0.2621,2.2954,0.2924,5.3046,3.4576,4.0054
195405,3.9459,4.243,5.089,2.8609,2.6183,6.6316
195406,0.6134,1.8005,1.3882,1.8437,-0.2884,1.0567
195407,5.5421,6.9119,9.1482,4.2879,5.1601,8.9941
195408,-0.1185,0.1305,-0.8939,-2.9916,-0.9301,-4.9917
195409,2.8897,4.669,4.6903,6.8815,6.5673,6.4643
195410,0.5601,-0.9911,-0.7021,-2.2781,-1.0062,0.3434
195411,7.0826,8.9635,9.6041,9.5327,8.2249,15.7986
195412,7.5331,9.4646,11.4013,4.3115,5.8284,11.744
195501,1.5894,1.2311,2.3863,0.0631,0.7953,3.5499
195502,3.8044,5.4569,4.6434,3.071,2.7508,3.4022
195503,-0.778,-0.2808,0.6912,-0.2642,-0.3005,2.2127
195504,1.6264,1.087,2.6318,4.0842,2.0011,4.4324
195505,0.5818,0.4983,0.4034,1.9455,0.0676,0.1997
195506,2.1083,3.3709,3.5417,6.5905,7.4167,8.8422
195507,-1.6321,1.0639,1.2886,2.6436,1.1715,0.396
195508,-0.0701,0.6073,0.2604,0.3402,0.3229,1.4474
195509,-0.7222,-0.4771,-0.3494,0.0578,-0.1517,-2.299
195510,-1.4384,-0.7646,-1.2878,-2.8186,-1.9236,-3.2838
195511,5.9972,4.8247,5.2592,8.3322,4.6364,9.7196
195512,3.4725,2.283,2.5679,1.9789,1.6877,-1.7027
195601,-2.3277,-2.057,-1.7159,-3.6267,-1.328,-2.3554
195602,1.9377,3.7928,2.3765,4.7654,2.8185,3.46
195603,3.4322,3.797,5.1193,7.8836,5.6897,5.1985
195604,1.2824,0.8747,0.0813,0.107,1.2113,0.8141
195605,-3.398,-4.086,-4.5033,-5.1203,-4.6358,-6.625
195606,1.0128,2.5388,1.3061,4.3047,3.2463,1.7512
195607,3.3517,3.4453,3.455,5.0829,5.2921,4.8851
195608,-0.2685,-0.9106,-2.1117,-3.5272,-2.3423,-3.129
195609,-3.3845,-3.0327,-2.111,-5.9383,-3.6359,-3.6745
195610,1.1872,0.9148,0.4229,0.6819,0.7704,1.3341
195611,-0.3115,0.1676,2.2371,-0.3983,2.5647,0.591
195612,4.3647,2.0997,2.1899,3.8264,3.1941,1.6819
195701,-0.7927,0.1058,2.0332,-4.4516,-2.6835,-1.6359
195702,-2.8013,-3.2423,-2.7116,-1.5275,-2.0136,-3.0645
195703,2.2189,2.5809,2.2831,2.7044,1.8531,1.7164
195704,2.2226,2.2943,2.2797,5.6088,3.4013,2.6036
195705,3.0121,1.2786,1.7227,4.7371,2.5855,1.8302
195706,0.0903,-1.2336,0.7528,-0.1233,-1.179,-0.7328
195707,-0.6273,0.7807,0.4211,1.2811,0.5342,1.0783
195708,-4.9836,-4.3639,-5.2188,-5.4514,-3.1891,-6.0634
195709,-7.1005,-4.8858,-5.0646,-6.3295,-4.3555,-6.5429
